微信支付账单明细,,,,,,,,
微信昵称：[IP代理精灵],,,,,,,,
起始时间：[2019-08-01 00:00:00] 终止时间：[2019-08-31 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2019-09-26 20:39:19],,,,,,,,
,,,,,,,,
共1笔记录,,,,,,,,
收入：0笔 0.00元,,,,,,,,
支出：0笔 0.00元,,,,,,,,
中性交易：1笔 7222.67元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2019-08-29 11:05:18,零钱提现,中信银行(0841),"/",/,¥7222.67,中信银行(0841),提现已到账,207190829100065311851612788020	,/	,"服务费¥7.22"
